[ INFO] [2020-11-15] [04:40:50,235] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:40:50,235] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[FATAL] [2020-11-15] [04:41:44,076] [x800018040] .main - ### Starting ###
[ INFO] [2020-11-15] [04:41:44,077] [x80009b8d0] Galaxy.galaxyWorker - tick 1
[ WARN] [2020-11-15] [04:41:44,077] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:44,127] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:44,127] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:41:44,177] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:44,177] [x80009b6b0] StarSystem.update - starsystem b
[ WARN] [2020-11-15] [04:41:44,177] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:44,227] [x8000acbb0] StarSystem.update - starsystem c
[ INFO] [2020-11-15] [04:41:45,176] [x80009b8d0] Galaxy.galaxyWorker - tick 2
[ WARN] [2020-11-15] [04:41:45,176] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:45,226] [x80009b6b0] StarSystem.update - starsystem b
[ INFO] [2020-11-15] [04:41:45,226] [x8000acbb0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:45,276] [x80009b6b0] StarSystem.update - starsystem c
[ WARN] [2020-11-15] [04:41:45,276] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:46,177] [x80009b8d0] Galaxy.galaxyWorker - tick 3
[ WARN] [2020-11-15] [04:41:46,177] [x80009b8d0] .setThreadPriority - Failed to set thread priority: ENOTSUP Attempt was made to set the policy or scheduling parameters to an unsupported value
[ INFO] [2020-11-15] [04:41:46,227] [x80009b6b0] StarSystem.update - starsystem a
[ INFO] [2020-11-15] [04:41:46,227] [x8000acbb0] StarSystem.update - starsystem b
